district,pct_white_nh,pct_black,pct_hispanic,pct_asian,pct_other,pct_college,pct_under_30,pct_65_plus,median_age,median_income,total_population,source
MO-05,69.93,16.49,7.03,1.14,5.41,,,,,,769364,DRA_VAP_NH_2020
MO-06,83.88,4.78,4.84,1.76,4.74,,,,,,769364,DRA_VAP_NH_2020
MO-07,85.02,1.9,4.96,1.44,6.67,,,,,,769365,DRA_VAP_NH_2020
MO-08,88.28,4.22,1.94,0.83,4.73,,,,,,769364,DRA_VAP_NH_2020
UT-01,66.07,2.02,20.88,4.79,6.24,,,,,,817904,DRA_VAP_NH_2020
UT-02,81.0,1.05,11.87,1.88,4.19,,,,,,817904,DRA_VAP_NH_2020
UT-03,80.79,0.53,11.54,1.37,5.77,,,,,,817904,DRA_VAP_NH_2020
UT-04,82.64,0.69,9.5,2.64,4.53,,,,,,817904,DRA_VAP_NH_2020
TN-01,89.59,2.15,3.76,0.81,3.69,,,,,,767871,DRA_VAP_NH_2020
TN-02,84.3,5.47,4.34,1.83,4.06,,,,,,767871,DRA_VAP_NH_2020
TN-03,79.9,9.55,4.78,1.5,4.27,,,,,,767871,DRA_VAP_NH_2020
TN-04,67.35,14.39,11.13,3.11,4.02,,,,,,767871,DRA_VAP_NH_2020
TN-05,63.62,26.67,4.71,1.32,3.67,,,,,,767871,DRA_VAP_NH_2020
TN-06,79.05,9.76,5.48,1.9,3.82,,,,,,767871,DRA_VAP_NH_2020
TN-07,74.91,13.22,5.79,1.86,4.23,,,,,,767871,DRA_VAP_NH_2020
TN-08,62.83,25.51,5.7,2.62,3.34,,,,,,767871,DRA_VAP_NH_2020
TN-09,58.23,30.64,5.6,2.51,3.02,,,,,,767872,DRA_VAP_NH_2020
FL-01,72.16,12.15,6.69,2.93,6.08,,,,,,769221,DRA_VAP_NH_2020
FL-02,65.48,21.78,6.42,2.1,4.21,,,,,,769221,DRA_VAP_NH_2020
FL-03,67.73,14.51,10.64,3.2,3.92,,,,,,769221,DRA_VAP_NH_2020
FL-04,55.33,29.6,7.82,2.73,4.53,,,,,,769221,DRA_VAP_NH_2020
FL-05,67.49,11.08,10.86,5.88,4.69,,,,,,769221,DRA_VAP_NH_2020
FL-06,74.76,9.96,9.78,1.57,3.93,,,,,,769221,DRA_VAP_NH_2020
FL-07,64.59,8.42,18.97,3.88,4.13,,,,,,769221,DRA_VAP_NH_2020
FL-08,68.49,8.96,14.24,3.54,4.77,,,,,,769220,DRA_VAP_NH_2020
FL-09,49.16,7.98,36.39,2.86,3.6,,,,,,769221,DRA_VAP_NH_2020
FL-10,35.83,24.37,30.41,4.29,5.1,,,,,,769221,DRA_VAP_NH_2020
FL-11,61.82,8.99,19.82,4.47,4.9,,,,,,769221,DRA_VAP_NH_2020
FL-12,58.89,8.48,24.81,3.87,3.95,,,,,,769221,DRA_VAP_NH_2020
FL-13,76.87,5.17,10.28,3.62,4.05,,,,,,769221,DRA_VAP_NH_2020
FL-14,55.17,10.89,26.02,3.73,4.19,,,,,,769221,DRA_VAP_NH_2020
FL-15,63.91,13.06,14.95,4.04,4.04,,,,,,769221,DRA_VAP_NH_2020
FL-16,70.67,10.81,12.91,2.17,3.43,,,,,,769221,DRA_VAP_NH_2020
FL-17,78.12,5.93,11.0,1.68,3.27,,,,,,769221,DRA_VAP_NH_2020
FL-18,56.25,13.03,24.92,2.02,3.78,,,,,,769221,DRA_VAP_NH_2020
FL-19,72.6,4.03,18.92,1.66,2.79,,,,,,769221,DRA_VAP_NH_2020
FL-20,30.12,38.84,23.26,2.86,4.92,,,,,,769221,DRA_VAP_NH_2020
FL-21,67.52,11.62,15.07,2.24,3.55,,,,,,769221,DRA_VAP_NH_2020
FL-22,48.96,11.73,30.99,4.09,4.22,,,,,,769221,DRA_VAP_NH_2020
FL-23,47.58,21.09,25.9,2.41,3.03,,,,,,769221,DRA_VAP_NH_2020
FL-24,11.6,43.09,40.92,1.57,2.82,,,,,,769221,DRA_VAP_NH_2020
FL-25,58.99,5.74,27.74,2.49,5.05,,,,,,769221,DRA_VAP_NH_2020
FL-26,12.54,7.94,74.27,3.2,2.06,,,,,,769221,DRA_VAP_NH_2020
FL-27,16.79,4.75,74.28,2.01,2.18,,,,,,769221,DRA_VAP_NH_2020
FL-28,15.32,7.98,73.25,1.64,1.8,,,,,,769221,DRA_VAP_NH_2020
LA-01,59.83,20.19,12.28,3.67,4.03,,,,,,776291,DRA_VAP_NH_2020
LA-02,70.03,17.89,6.6,2.1,3.39,,,,,,776306,DRA_VAP_NH_2020
LA-03,67.55,21.69,4.98,1.85,3.93,,,,,,776279,DRA_VAP_NH_2020
LA-04,60.5,29.72,4.34,1.11,4.33,,,,,,776277,DRA_VAP_NH_2020
LA-05,60.61,31.57,3.55,0.97,3.29,,,,,,776288,DRA_VAP_NH_2020
LA-06,31.5,58.19,5.71,1.69,2.92,,,,,,776316,DRA_VAP_NH_2020
AL-01,67.08,23.66,3.26,1.51,4.49,,,,,,717754,DRA_VAP_NH_2020
AL-02,52.5,38.64,3.74,1.78,3.34,,,,,,717755,DRA_VAP_NH_2020
AL-03,71.76,19.83,3.12,1.78,3.52,,,,,,717754,DRA_VAP_NH_2020
AL-04,82.83,6.69,6.1,0.61,3.77,,,,,,717754,DRA_VAP_NH_2020
AL-05,70.27,17.2,5.3,1.88,5.35,,,,,,717754,DRA_VAP_NH_2020
AL-06,71.65,18.48,4.68,1.79,3.41,,,,,,717754,DRA_VAP_NH_2020
AL-07,42.7,49.51,3.66,1.36,2.77,,,,,,717754,DRA_VAP_NH_2020
