name,party,year,geography,war,war_text
Ashley Hinson,R,2024,IA-02,2.8,R+2.8
Ashley Ramos,R,2024,IL-02,2.0,R+2
Asif Mahmood,D,2022,CA-40,-5.7,R+5.7
Audrey Denney,D,2020,CA-01,5.5,D+5.5
August Deuser,R,2016,IL-01,13.8,R+13.8
August Pfluer,R,2020,TX-11,1.4,R+1.4
Austin Scott,R,2024,GA-08,1.3,R+1.3
Austin Theriault,R,2024,ME-02,-5.9,D+5.9
Ava Pate,R,2018,TX-18,1.4,R+1.4
Ayanna Pressley,D,2022,MA-07,-3.6,R+3.6
B. J. Guillot,R,2014,WA-02,1.2,R+1.2
Barbara Comstock,R,2018,VA-10,1.7,R+1.7
Barbara Gaskins,D,2022,NC-03,-2.1,R+2.1
Barbara Jo Mullis,D,2014,SC-03,0.2,D+0.2
Barbara Kirkmeyer,R,2022,CO-08,2.6,R+2.6
Barbara Lee,D,2022,CA-12,3.4,D+3.4
Barbara Stocker,D,2014,MO-08,5.5,D+5.5
Barbie Hall,D,2024,FL-11,-0.6,R+0.6
Barry Lee Wendell,D,2022,WV-02,7.6,D+7.6
Barry Loudermilk,R,2024,GA-11,6.0,R+6
Barry Moore,R,2024,AL-01,-1.3,D+1.3
Barry Welsh,D,2016,IN-06,-2.7,R+2.7
Bart Goldberg,D,2022,MI-05,-1.2,R+1.2
Beatrice Nichols,R,2022,AL-07,-3.1,D+3.1
Beau Liegeois,D,2018,WI-08,-15.3,R+15.3
Becca Balint,D,2024,VT-AL,0.3,D+0.3
Becky Hites,R,2020,GA-13,-4.1,D+4.1
Ben Clark,D,2022,NC-09,1.6,D+1.6
Ben Cline,R,2024,VA-06,1.1,R+1.1
Ben McAdams,D,2020,UT-04,7.5,D+7.5
Ben Ray Lujan,D,2018,NM-03,7.1,D+7.1
Ben Steinhoff,D,2024,WI-05,-1.0,R+1
Benine Hamdan,R,2022,NY-10,-7.6,D+7.6
Benito Bernal,R,2024,CA-29,-1.6,D+1.6
Benjamin Campos,R,2014,CA-38,11.3,R+11.3
Bennie Thompson,D,2024,MS-02,1.0,D+1
Bert Smith,D,2014,OK-04,2.2,D+2.2
Beth Farnham,D,2024,PA-13,-0.1,R+0.1
Beth Van Duyne,R,2024,TX-24,0.0,D+0
Bethany Mann,D,2024,MO-03,2.4,D+2.4
Beto O'Rourke,D,2014,TX-16,8.7,D+8.7
Betsy Dirksen Londrigan,D,2020,IL-13,-2.2,R+2.2
Betsy Rader,D,2018,OH-14,-6.1,R+6.1
Betty McCollum,D,2024,MN-04,-3.0,R+3
Beverly Goldstein,R,2018,OH-11,6.3,R+6.3
Bibiana Boerio,D,2018,PA-14,3.6,D+3.6
Bill Bailey,D,2014,IN-09,1.1,D+1.1
Bill Bradshaw,D,2016,TX-12,-1.7,R+1.7
Bill Campbell,D,2024,UT-01,-5.4,R+5.4
Bill Enyart,D,2014,IL-12,-7.6,R+7.6
Bill Fawell,R,2018,IL-17,-8.5,D+8.5
Bill Flores,R,2018,TX-17,-3.5,D+3.5
Bill Foster,D,2024,IL-11,-3.1,R+3.1
Bill Hedge,D,2014,MO-06,-0.8,R+0.8
Bill Hughes Jr.,D,2014,NJ-02,-14.0,R+14.0
Bill Huizenga,R,2024,MI-04,2.0,R+2
Bill Johnson,R,2022,OH-06,2.9,R+2.9
Bill Keating,D,2024,MA-09,-1.4,R+1.4
Bill Marx,D,2020,PA-14,3.0,D+3
Bill Moher,R,2024,VA-04,0.9,R+0.9
Bill Olson,R,2020,FL-09,-3.1,D+3.1
Bill Otto,D,2016,MO-02,0.3,D+0.3
Bill Pascrell,D,2022,NJ-09,-3.8,R+3.8
Bill Posey,R,2022,FL-08,-1.5,D+1.5
Bill Shuster,R,2016,PA-09,-18.2,D+18.2
Bill Tilghman,D,2014,MD-01,-4.7,R+4.7
Bill Wells,R,2024,CA-51,4.2,R+4.2
Billy Long,R,2020,MO-07,-4.1,D+4.1
Billy Prempeh,R,2024,NJ-09,-2.4,D+2.4
Blaine Luetkemeyer,R,2022,MO-03,-2.5,D+2.5
Blair Walsingham,D,2020,TN-01,4.4,D+4.4
Blake Farenthold,R,2016,TX-27,-10.1,D+10.1
Blake Moore,R,2024,UT-01,5.4,R+5.4
Blane Miller,D,2024,MD-01,-1.6,R+1.6
Bo Hines,R,2022,NC-13,-5.0,D+5
Bob Brady,D,2014,PA-01,5.9,D+5.9
Bob Christian,D,2024,GA-07,-1.4,R+1.4
Bob Dingethal,D,2014,WA-03,-11.0,R+11.0
Bob Dold,R,2014,IL-10,15.2,R+15.2
Bob Evans,R,2016,CA-06,-4.9,D+4.9
Bob Gibbs,R,2020,OH-07,4.1,R+4.1
Bob Good,R,2022,VA-05,0.1,R+0.1
Bob Goodlatte,R,2016,VA-06,0.9,R+0.9
Bob Goodrich,D,2014,MI-03,-0.4,R+0.4
Bob Healey Jr.,R,2022,NJ-03,-2.0,D+2
Bob Hernandez,D,2022,KS-04,-0.8,R+0.8
Bob Hollister,D,2022,PA-11,2.2,D+2.2
Bob Latta,R,2024,OH-05,1.5,R+1.5
Bob Lorinser,D,2022,MI-01,-1.9,R+1.9
Bob May,R,2022,MA-06,1.8,R+1.8
Bob Montigel,D,2014,GA-06,2.5,D+2.5
Bob Onder,R,2024,MO-03,-2.4,D+2.4
Bob Patterson,R,2016,NJ-01,8.0,R+8
Bob Rackleff,D,2018,FL-02,-0.1,R+0.1
Bob Ries,R,2014,TN-05,-12.2,D+12.2
Bob Scott,D,2014,TN-02,-3.8,R+3.8
Bob Seay,D,2016,CO-04,-2.0,R+2
Bob Todd,R,2024,OR-01,-2.5,D+2.5
Bobby McKenzie,D,2014,MI-11,-1.8,R+1.8
Bobby Rush,D,2020,IL-01,-4.3,R+4.3
Bobby Schilling,R,2014,IL-17,-0.4,D+0.4
Bobby Scott,D,2024,VA-03,3.2,D+3.2
