district,pct_college,pct_white_nh_college,pct_white_nh_non_college,pct_nonwhite_college,pct_nonwhite_non_college,pct_under_30,pct_30_44,pct_45_64,pct_65_plus,median_age,median_income,total_population_acs,source
NC-02,53.22,37.22,20.63,16.0,26.14,23.37,28.72,31.52,16.39,37.6,97222,745670,ACS_2023_tract_to_new_lines
NC-03,23.66,16.37,40.56,7.28,35.78,27.87,23.78,28.66,19.69,36.8,59971,745670,ACS_2023_tract_to_new_lines
NC-04,60.52,39.28,18.5,21.24,20.98,21.89,28.58,31.75,17.77,38.2,105332,745671,ACS_2023_tract_to_new_lines
NC-05,26.93,20.79,52.79,6.14,20.28,21.33,21.54,33.28,23.85,41.8,62221,745671,ACS_2023_tract_to_new_lines
NC-06,29.17,20.98,46.84,8.19,23.99,19.98,24.55,33.72,21.76,40.3,71568,745671,ACS_2023_tract_to_new_lines
NC-07,32.26,25.31,44.19,6.96,23.55,18.85,22.81,32.62,25.71,42.4,70754,745671,ACS_2023_tract_to_new_lines
NC-08,34.01,24.65,40.03,9.36,25.96,18.74,24.6,35.78,20.88,39.9,90327,745671,ACS_2023_tract_to_new_lines
NC-09,28.05,19.99,43.53,8.05,28.42,21.88,24.44,31.7,21.97,39.1,67899,745671,ACS_2023_tract_to_new_lines
NC-10,31.47,24.88,46.84,6.6,21.69,19.49,23.53,34.67,22.31,40.6,73765,745670,ACS_2023_tract_to_new_lines
NC-11,34.49,31.47,55.69,3.02,9.82,16.47,22.04,32.41,29.08,45.8,64526,745670,ACS_2023_tract_to_new_lines
NC-12,44.37,25.11,14.97,19.26,40.66,26.38,31.07,29.25,13.29,34.7,81215,745670,ACS_2023_tract_to_new_lines
NC-13,30.17,23.18,43.99,6.99,25.84,18.15,26.46,35.5,19.88,39.6,84328,745670,ACS_2023_tract_to_new_lines
NC-14,34.55,25.14,46.48,9.41,18.97,17.51,25.58,35.17,21.74,41.1,81526,745671,ACS_2023_tract_to_new_lines
TN-01,22.93,21.26,70.22,1.66,6.85,18.09,21.45,34.68,25.78,43.9,58270,767871,ACS_2023_tract_to_new_lines
TN-02,33.49,29.56,57.02,3.93,9.49,21.13,23.51,32.41,22.96,40.9,75515,767871,ACS_2023_tract_to_new_lines
TN-03,28.67,24.49,56.91,4.18,14.42,18.57,23.83,33.45,24.14,41.5,70918,767871,ACS_2023_tract_to_new_lines
TN-04,29.86,21.44,48.42,8.42,21.72,23.2,28.39,31.16,17.25,36.3,73944,767871,ACS_2023_tract_to_new_lines
TN-05,27.66,20.91,44.11,6.75,28.24,20.99,25.82,32.14,21.04,38.8,66822,767871,ACS_2023_tract_to_new_lines
TN-06,33.26,27.26,53.12,6.0,13.63,22.16,25.91,31.04,20.89,39.6,70374,767871,ACS_2023_tract_to_new_lines
TN-07,35.77,28.34,47.77,7.42,16.46,20.14,27.41,32.58,19.88,38.7,87509,767871,ACS_2023_tract_to_new_lines
TN-08,33.9,23.67,40.24,10.23,25.86,19.37,25.5,33.27,21.86,39.4,81377,767871,ACS_2023_tract_to_new_lines
TN-09,28.2,18.98,41.03,9.22,30.76,19.73,25.44,34.49,20.34,38.9,77429,767872,ACS_2023_tract_to_new_lines
MO-01,37.18,24.23,23.42,12.95,39.39,22.58,27.23,30.36,19.83,37.8,65087,769364,ACS_2023_tract_to_new_lines
MO-02,45.78,38.56,47.36,7.22,6.86,16.17,23.46,34.63,25.74,43.1,102843,769364,ACS_2023_tract_to_new_lines
MO-03,37.78,32.53,54.05,5.25,8.17,21.86,25.67,31.94,20.53,38.9,90020,769364,ACS_2023_tract_to_new_lines
MO-04,33.18,28.02,56.35,5.16,10.46,20.26,24.97,31.68,23.1,40.0,77415,769364,ACS_2023_tract_to_new_lines
MO-05,23.56,18.85,53.34,4.71,23.1,20.9,25.08,32.12,21.91,38.6,64170,769364,ACS_2023_tract_to_new_lines
MO-06,29.81,25.89,59.65,3.93,10.54,19.81,25.37,32.6,22.23,39.2,77034,769364,ACS_2023_tract_to_new_lines
MO-07,27.05,24.15,63.62,2.9,9.33,21.47,24.11,31.22,23.2,39.1,64119,769365,ACS_2023_tract_to_new_lines
MO-08,20.26,18.39,71.46,1.87,8.28,18.75,23.76,33.45,24.03,40.7,60531,769364,ACS_2023_tract_to_new_lines
UT-01,36.65,28.85,39.12,7.8,24.23,26.12,30.05,28.43,15.4,34.2,93188,817904,ACS_2023_tract_to_new_lines
UT-02,34.41,30.36,51.6,4.05,13.99,25.9,29.74,28.43,15.92,32.6,98936,817904,ACS_2023_tract_to_new_lines
UT-03,36.35,31.85,50.32,4.5,13.33,30.44,24.1,26.32,19.15,33.2,87075,817904,ACS_2023_tract_to_new_lines
UT-04,40.3,34.5,49.11,5.8,10.59,24.35,32.73,28.66,14.26,31.6,115120,817904,ACS_2023_tract_to_new_lines
FL-01,31.45,25.0,48.69,6.45,19.87,20.6,25.38,32.11,21.9,39.6,78118,769221,ACS_2023_tract_to_new_lines
FL-02,30.75,22.32,44.81,8.43,24.44,23.82,23.72,30.71,21.75,40.1,66224,769221,ACS_2023_tract_to_new_lines
FL-03,28.24,19.82,49.08,8.42,22.68,22.91,22.4,28.83,25.86,41.6,62287,769221,ACS_2023_tract_to_new_lines
FL-04,26.46,16.6,40.27,9.86,33.27,18.84,26.42,33.92,20.82,39.5,73635,769221,ACS_2023_tract_to_new_lines
FL-05,44.43,32.03,36.39,12.4,19.18,19.68,26.9,31.92,21.51,40.1,95180,769221,ACS_2023_tract_to_new_lines
FL-06,24.73,19.68,56.63,5.06,18.63,15.34,19.04,32.08,33.54,48.0,64057,769221,ACS_2023_tract_to_new_lines
FL-07,36.11,24.31,41.36,11.8,22.53,17.34,25.0,33.19,24.47,42.7,84446,769221,ACS_2023_tract_to_new_lines
FL-08,35.3,25.41,44.19,9.89,20.51,19.85,21.15,32.99,26.01,44.2,82272,769220,ACS_2023_tract_to_new_lines
FL-09,29.42,15.53,35.05,13.89,35.53,16.74,24.9,31.77,26.58,43.4,72455,769221,ACS_2023_tract_to_new_lines
FL-10,33.48,17.06,19.19,16.42,47.34,23.68,29.25,30.42,16.65,36.7,70333,769221,ACS_2023_tract_to_new_lines
FL-11,36.93,24.29,38.39,12.64,24.68,14.46,23.4,30.48,31.66,46.1,90693,769221,ACS_2023_tract_to_new_lines
FL-12,33.18,21.32,38.19,11.86,28.63,17.95,25.7,33.25,23.1,41.8,78392,769221,ACS_2023_tract_to_new_lines
FL-13,33.63,27.15,50.54,6.48,15.83,14.69,21.31,34.03,29.97,48.0,73532,769221,ACS_2023_tract_to_new_lines
FL-14,37.23,23.42,32.88,13.81,29.89,18.32,28.08,33.27,20.33,40.1,90435,769221,ACS_2023_tract_to_new_lines
FL-15,27.27,16.87,48.02,10.4,24.72,18.98,22.46,30.46,28.1,44.0,67927,769221,ACS_2023_tract_to_new_lines
FL-16,34.69,28.03,44.81,6.66,20.5,14.68,19.83,32.91,32.59,48.4,78489,769221,ACS_2023_tract_to_new_lines
FL-17,32.5,27.86,51.15,4.64,16.35,12.34,16.63,29.88,41.15,53.2,75334,769221,ACS_2023_tract_to_new_lines
FL-18,23.68,14.73,41.29,8.95,35.03,19.63,25.52,30.38,24.47,40.0,66607,769221,ACS_2023_tract_to_new_lines
FL-19,35.78,29.53,43.46,6.25,20.76,13.2,17.45,30.83,38.52,51.6,83863,769221,ACS_2023_tract_to_new_lines
FL-20,28.25,11.08,18.39,17.17,53.36,18.32,26.4,32.7,22.58,41.0,66396,769221,ACS_2023_tract_to_new_lines
FL-21,35.26,26.63,41.19,8.63,23.55,14.4,20.46,32.83,32.32,47.7,88319,769221,ACS_2023_tract_to_new_lines
