district,pct_white_nh,pct_black,pct_hispanic,pct_asian,pct_other,pct_college,pct_white_nh_college,pct_white_nh_non_college,pct_nonwhite_college,pct_nonwhite_non_college,pct_under_30,pct_30_44,pct_45_64,pct_65_plus,median_age,median_income,total_population,source
HI-01,14.83,1.93,8.21,49.26,25.78,38.95,8.35,7.22,30.59,53.83,18.68,25.88,30.64,24.79,40.7,102840,722336,ACS_2023_5yr
HI-02,27.41,1.67,11.47,24.25,35.21,31.85,14.0,17.64,17.86,50.51,18.35,24.9,31.26,25.5,40.4,93555,723299,ACS_2023_5yr
IA-01,83.94,4.09,5.8,2.27,3.9,32.2,28.31,58.95,3.89,8.85,21.64,24.09,31.31,22.97,38.8,72191,798572,ACS_2023_5yr
IA-02,86.76,3.93,3.91,1.52,3.88,28.79,26.41,63.75,2.38,7.46,20.34,23.27,31.67,24.71,39.7,71627,795074,ACS_2023_5yr
IA-03,79.08,5.15,8.31,3.76,3.7,36.03,31.63,51.82,4.4,12.14,20.05,27.67,31.85,20.43,37.3,79204,806699,ACS_2023_5yr
IA-04,82.53,1.86,9.93,2.13,3.56,26.28,23.71,63.15,2.57,10.57,22.11,22.62,30.85,24.42,38.7,70703,795592,ACS_2023_5yr
ID-01,80.3,0.65,12.14,1.03,5.87,29.57,25.94,57.95,3.63,12.48,18.71,25.58,31.84,23.87,39.0,76208,957699,ACS_2023_5yr
ID-02,78.36,0.72,14.56,1.53,4.83,32.94,29.01,52.8,3.93,14.26,24.41,26.11,29.45,20.03,35.1,72927,935597,ACS_2023_5yr
IL-01,36.57,48.48,9.5,2.06,3.39,32.08,14.9,23.01,17.18,44.91,20.14,24.06,33.8,22.0,39.8,71207,748580,ACS_2023_5yr
IL-02,34.23,46.29,15.3,1.0,3.18,24.07,9.32,29.16,14.76,46.77,19.78,24.32,33.59,22.31,38.8,61514,743574,ACS_2023_5yr
IL-03,39.75,5.03,45.83,6.6,2.79,35.74,22.75,22.45,12.99,41.8,21.71,29.81,31.81,16.66,36.4,86160,739856,ACS_2023_5yr
IL-04,23.9,4.63,65.88,4.26,1.32,23.99,12.24,16.22,11.76,59.79,22.22,27.43,32.8,17.56,36.5,72717,733798,ACS_2023_5yr
IL-05,70.33,2.78,12.37,10.68,3.84,65.38,50.16,22.96,15.22,11.66,21.3,29.47,29.85,19.37,37.7,113520,746503,ACS_2023_5yr
IL-06,70.38,4.98,15.4,5.83,3.41,43.91,33.76,40.48,10.15,15.61,16.69,24.87,33.88,24.57,41.4,98177,746605,ACS_2023_5yr
IL-07,30.5,41.25,16.36,8.5,3.39,47.12,26.78,7.87,20.34,45.01,25.37,31.1,26.98,16.54,35.2,80071,737077,ACS_2023_5yr
IL-08,53.7,4.57,24.86,13.4,3.46,39.75,24.77,34.38,14.98,25.87,18.32,26.6,34.93,20.15,39.7,98112,749409,ACS_2023_5yr
IL-09,59.13,8.65,13.76,13.99,4.46,55.29,38.28,24.17,17.01,20.54,18.69,26.28,32.74,22.29,40.5,90983,743003,ACS_2023_5yr
IL-10,57.58,6.16,24.49,8.03,3.74,46.53,34.59,28.66,11.94,24.81,20.35,23.63,35.08,20.95,39.3,105792,752196,ACS_2023_5yr
IL-11,63.16,5.95,19.34,8.32,3.22,44.79,32.38,35.36,12.41,19.84,18.87,25.53,35.31,20.29,39.3,106961,750921,ACS_2023_5yr
IL-12,87.64,4.8,3.0,0.97,3.59,24.09,21.62,67.99,2.48,7.92,17.75,23.8,33.58,24.86,41.4,66758,748190,ACS_2023_5yr
IL-13,67.15,19.27,4.83,3.9,4.85,31.7,24.19,48.09,7.52,20.21,24.87,23.68,30.16,21.29,37.4,61893,747026,ACS_2023_5yr
IL-14,58.92,9.28,23.36,5.03,3.41,33.1,23.08,40.76,10.01,26.14,21.69,27.12,33.58,17.6,37.0,93186,759546,ACS_2023_5yr
IL-15,90.32,3.08,2.91,0.83,2.87,25.46,23.67,68.55,1.78,5.99,17.1,23.24,33.57,26.09,42.2,71893,749694,ACS_2023_5yr
IL-16,84.97,2.48,7.0,2.33,3.22,31.35,27.48,60.75,3.87,7.91,16.83,23.85,34.09,25.23,41.6,82941,750034,ACS_2023_5yr
IL-17,68.99,13.12,11.33,2.1,4.46,24.17,19.97,55.07,4.21,20.76,22.46,23.25,30.67,23.61,38.6,57781,746641,ACS_2023_5yr
IN-01,60.65,17.54,17.04,1.4,3.36,25.76,18.93,46.33,6.83,27.91,18.8,24.92,33.43,22.84,39.9,71994,755814,ACS_2023_5yr
IN-02,76.5,6.2,11.64,1.5,4.15,24.32,20.39,61.03,3.93,14.65,21.3,24.05,32.26,22.39,37.8,66298,751869,ACS_2023_5yr
IN-03,81.05,5.73,6.76,2.72,3.73,25.01,21.95,62.67,3.07,12.31,20.45,24.67,32.65,22.24,37.6,68691,757902,ACS_2023_5yr
IN-04,81.95,4.22,7.31,3.27,3.26,31.16,26.42,59.05,4.75,9.79,23.76,24.37,31.83,20.04,36.8,76323,763237,ACS_2023_5yr
IN-05,81.88,5.06,4.8,3.72,4.54,40.31,33.88,50.76,6.43,8.93,20.69,24.95,33.25,21.11,38.7,79250,764118,ACS_2023_5yr
IN-06,80.72,4.71,5.58,5.18,3.81,28.17,23.27,61.28,4.9,10.55,19.64,26.19,33.0,21.17,38.2,74398,757251,ACS_2023_5yr
IN-07,45.74,32.46,14.81,1.93,5.06,35.49,24.12,28.29,11.37,36.22,24.31,28.69,29.95,17.05,34.1,61229,750003,ACS_2023_5yr
IN-08,88.18,3.95,3.18,0.98,3.71,22.56,20.62,69.92,1.94,7.52,19.76,23.68,32.83,23.74,40.0,63906,754928,ACS_2023_5yr
IN-09,87.89,2.58,4.24,1.89,3.4,26.65,23.76,66.66,2.89,6.69,21.94,23.54,32.57,21.94,39.4,70206,756630,ACS_2023_5yr
KS-01,75.29,2.53,15.88,1.82,4.48,29.92,25.89,54.0,4.03,16.08,26.1,23.4,28.63,21.87,35.9,64651,732112,ACS_2023_5yr
KS-02,70.97,7.92,13.22,1.84,6.06,27.65,22.89,52.74,4.76,19.61,20.96,24.44,31.68,22.92,37.7,64362,732031,ACS_2023_5yr
KS-03,76.39,4.63,10.12,4.59,4.27,51.62,43.56,36.58,8.06,11.8,19.24,27.55,32.8,20.42,38.2,100079,738537,ACS_2023_5yr
KS-04,70.82,5.99,13.85,3.27,6.08,30.56,25.56,50.48,5.0,18.96,21.07,25.52,31.41,22.0,37.1,67563,734889,ACS_2023_5yr
KY-01,84.91,6.71,3.9,0.65,3.83,20.42,18.35,69.6,2.07,9.98,20.24,22.98,32.77,24.01,39.7,57072,752660,ACS_2023_5yr
KY-02,84.64,5.1,4.46,1.89,3.91,23.47,20.4,67.02,3.07,9.52,19.98,24.74,33.65,21.62,39.0,64922,759614,ACS_2023_5yr
KY-03,62.62,22.38,7.89,2.77,4.34,35.57,27.1,40.75,8.48,23.68,20.45,26.24,31.76,21.55,38.1,66104,742760,ACS_2023_5yr
KY-04,87.65,3.17,4.27,1.14,3.78,31.39,28.54,61.65,2.85,6.96,18.75,25.47,34.56,21.22,39.3,78569,756119,ACS_2023_5yr
